Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Plains,INR,Innistrad Remastered,288,foil,common,1,102680,95347dba-09e9-47a3-a068-db78ba39714e,0.35,false,false,near_mint,en,USD
Shrill Howler // Howling Chorus,INR,Innistrad Remastered,214,foil,uncommon,1,102815,e414e208-2e90-4b0d-b107-7a387b3f779b,0.05,false,false,near_mint,en,USD
Gisa's Bidding,INR,Innistrad Remastered,379,foil,common,1,102595,6eda8787-8f57-4894-a911-a91f92812062,0.17,false,false,near_mint,en,USD
Reckless Scholar,INR,Innistrad Remastered,81,foil,common,1,102784,ceb85311-a7f7-44d5-9caa-50a24fd6d00a,0.02,false,false,near_mint,en,USD
Angel's Tomb,INR,Innistrad Remastered,253,foil,uncommon,1,102738,b465d09e-efad-48b6-a89a-f7da0c572991,0.07,false,false,near_mint,en,USD
Twinblade Geist // Twinblade Invocation,INR,Innistrad Remastered,47,foil,uncommon,1,102655,88bc8cdf-adfa-4a11-a8c0-484bc03edc65,0.08,false,false,near_mint,en,USD
Mountain,INR,Innistrad Remastered,295,foil,common,1,102615,787da7ce-527d-4abf-9e92-5de9db2250cd,0.72,false,false,near_mint,en,USD
Mist Raven,INR,Innistrad Remastered,362,normal,uncommon,1,102432,1450e465-3380-465a-ac20-18ae64b04821,0.05,false,false,near_mint,en,USD
Rally the Peasants,INR,Innistrad Remastered,347,normal,uncommon,1,102805,dc5bf14c-e287-47aa-a5aa-1ac543bb922f,0.12,false,false,near_mint,en,USD
Festival Crasher,INR,Innistrad Remastered,153,foil,common,1,102800,d8d050c1-ae0c-46c1-8aa7-7cde4606105b,0.05,false,false,near_mint,en,USD
Blazing Torch,INR,Innistrad Remastered,254,foil,common,1,102827,ea2d3a1c-287e-4b85-8f3d-25fdcf79f47b,0.05,false,false,near_mint,en,USD
Village Messenger // Moonrise Intruder,INR,Innistrad Remastered,179,foil,common,1,102663,8bdc98cd-d03a-4c24-8642-b9ffb1f144c6,0.05,false,false,near_mint,en,USD
Hamlet Captain,INR,Innistrad Remastered,201,foil,uncommon,1,102406,06e5d76a-0cec-40e0-b694-2b5c8484f6c0,0.08,false,false,near_mint,en,USD
